src,dst,edge_type
sigma70,RDBECOLIPMC03052,BINDS
sigma24,RDBECOLIPMC03053,BINDS
sigma70,RDBECOLIPMC00508,BINDS
sigma70,RDBECOLIPMC02516,BINDS
sigma70,RDBECOLIPMC00360,BINDS
sigma70,RDBECOLIPMC00298,BINDS
sigma70,RDBECOLIPMC00497,BINDS
sigma70,RDBECOLIPMC03056,BINDS
sigma70,RDBECOLIPMC03059,BINDS
sigma70,RDBECOLIPMC03060,BINDS
sigma70,RDBECOLIPMC03477,BINDS
sigma70,RDBECOLIPMC03064,BINDS
sigma70,RDBECOLIPMC03067,BINDS
sigma70,RDBECOLIPMC03928,BINDS
sigma70,RDBECOLIPMC03067,BINDS
sigma70,RDBECOLIPMC03068,BINDS
sigma70,RDBECOLIPMC03073,BINDS
sigma70,RDBECOLIPMC03077,BINDS
sigma70,RDBECOLIPMC03079,BINDS
sigma70,RDBECOLIPMC03080,BINDS
sigma70,RDBECOLIPMC03082,BINDS
sigma70,RDBECOLIPMC03083,BINDS
sigma70,RDBECOLIPMC03084,BINDS
sigma70,RDBECOLIPMC03086,BINDS
sigma70,RDBECOLIPMC03090,BINDS
sigma38,RDBECOLIPMC03092,BINDS
sigma28,RDBECOLIPMC03910,BINDS
sigma70,RDBECOLIPMC03111,BINDS
sigma70,RDBECOLIPMC03114,BINDS
sigma70,RDBECOLIPMC03115,BINDS
sigma70,RDBECOLIPMC03116,BINDS
sigma70,RDBECOLIPMC03117,BINDS
sigma70,RDBECOLIPMC03126,BINDS
sigma70,RDBECOLIPMC03129,BINDS
sigma38,RDBECOLIPMC00456,BINDS
sigma70,RDBECOLIPMC03134,BINDS
sigma70,RDBECOLIPMC03135,BINDS
sigma24,RDBECOLIPMC03140,BINDS
sigma24,RDBECOLIPMC03141,BINDS
sigma24,RDBECOLIPMC03142,BINDS
sigma24,RDBECOLIPMC03143,BINDS
sigma54,RDBECOLIPMC03144,BINDS
sigma24,RDBECOLIPMC03146,BINDS
sigma70,RDBECOLIPMC03147,BINDS
sigma70,RDBECOLIPMC03148,BINDS
sigma32,RDBECOLIPMC03149,BINDS
sigma32,RDBECOLIPMC03151,BINDS
sigma70,RDBECOLIPMC03155,BINDS
sigma32,RDBECOLIPMC03156,BINDS
sigma32,RDBECOLIPMC03157,BINDS
sigma70,RDBECOLIPMC03160,BINDS
sigma32,RDBECOLIPMC03161,BINDS
sigma70,RDBECOLIPMC03163,BINDS
sigma32,RDBECOLIPMC03164,BINDS
sigma32,RDBECOLIPMC03165,BINDS
sigma32,RDBECOLIPMC03166,BINDS
sigma32,RDBECOLIPMC03167,BINDS
sigma32,RDBECOLIPMC03168,BINDS
sigma32,RDBECOLIPMC03169,BINDS
sigma70,RDBECOLIPMC03170,BINDS
sigma70,RDBECOLIPMC03171,BINDS
sigma70,RDBECOLIPMC03172,BINDS
sigma70,RDBECOLIPMC03174,BINDS
sigma32,RDBECOLIPMC03175,BINDS
sigma32,RDBECOLIPMC03176,BINDS
sigma70,RDBECOLIPMC03219,BINDS
sigma70,RDBECOLIPMC03239,BINDS
sigma70,RDBECOLIPMC03240,BINDS
sigma70,RDBECOLIPMC03243,BINDS
sigma32,RDBECOLIPMC03262,BINDS
sigma32,RDBECOLIPMC03265,BINDS
sigma32,RDBECOLIPMC03266,BINDS
sigma32,RDBECOLIPMC03268,BINDS
sigma70,RDBECOLIPMC03269,BINDS
sigma32,RDBECOLIPMC03270,BINDS
sigma70,RDBECOLIPMC03271,BINDS
sigma32,RDBECOLIPMC03272,BINDS
sigma70,RDBECOLIPMC03273,BINDS
sigma70,RDBECOLIPMC03276,BINDS
sigma70,RDBECOLIPMC03278,BINDS
sigma70,RDBECOLIPMC03279,BINDS
sigma70,RDBECOLIPMC03282,BINDS
sigma70,RDBECOLIPMC00417,BINDS
sigma70,RDBECOLIPMC00056,BINDS
sigma28,RDBECOLIPMC00075,BINDS
sigma70,RDBECOLIPMC00089,BINDS
sigma70,RDBECOLIPMC00090,BINDS
sigma70,RDBECOLIPMC00101,BINDS
sigma70,RDBECOLIPMC00121,BINDS
sigma70,RDBECOLIPMC00190,BINDS
sigma38,RDBECOLIPMC00213,BINDS
sigma38,RDBECOLIPMC00214,BINDS
sigma38,RDBECOLIPMC00215,BINDS
sigma38,RDBECOLIPMC00216,BINDS
sigma38,RDBECOLIPMC00217,BINDS
sigma70,RDBECOLIPMC00218,BINDS
sigma70,RDBECOLIPMC00220,BINDS
sigma38,RDBECOLIPMC00222,BINDS
sigma70,RDBECOLIPMC00225,BINDS
