src,dst,edge_type
RDBECOLIPMC03308,RDBECOLIGNC03152,DRIVES
RDBECOLIPMC03308,RDBECOLIGNC02059,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC00695,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC03153,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC00658,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC01292,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC01291,DRIVES
RDBECOLIPMC03124,RDBECOLIGNC01290,DRIVES
RDBECOLIPMC03310,RDBECOLIGNC03159,DRIVES
RDBECOLIPMC02521,RDBECOLIGNC02070,DRIVES
RDBECOLIPMC03311,RDBECOLIGNC00991,DRIVES
RDBECOLIPMC00767,RDBECOLIGNC03162,DRIVES
RDBECOLIPMC00226,RDBECOLIGNC03165,DRIVES
RDBECOLIPMC03314,RDBECOLIGNC03170,DRIVES
RDBECOLIPMC03039,RDBECOLIGNC02280,DRIVES
RDBECOLIPMC03039,RDBECOLIGNC00432,DRIVES
RDBECOLIPMC03316,RDBECOLIGNC03171,DRIVES
RDBECOLIPMC03109,RDBECOLIGNC00047,DRIVES
RDBECOLIPMC03063,RDBECOLIGNC00239,DRIVES
RDBECOLIPMC03027,RDBECOLIGNC00424,DRIVES
RDBECOLIPMC03317,RDBECOLIGNC02330,DRIVES
RDBECOLIPMC00537,RDBECOLIGNC03180,DRIVES
RDBECOLIPMC00537,RDBECOLIGNC03179,DRIVES
RDBECOLIPMC00538,RDBECOLIGNC03182,DRIVES
RDBECOLIPMC00538,RDBECOLIGNC03181,DRIVES
RDBECOLIPMC03319,RDBECOLIGNC00322,DRIVES
RDBECOLIPMC03319,RDBECOLIGNC02413,DRIVES
RDBECOLIPMC00286,RDBECOLIGNC03242,DRIVES
RDBECOLIPMC00300,RDBECOLIGNC03244,DRIVES
RDBECOLIPMC03322,RDBECOLIGNC00846,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03255,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03254,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03253,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03252,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03251,DRIVES
RDBECOLIPMC03283,RDBECOLIGNC03250,DRIVES
